trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
4941490672,14:20:00,14:30:00,XMT,5,0,0,503
4941490672,16:25:00,16:30:00,MAA,6,0,0,658
4941490672,17:15:00,17:25:00,XRF,7,0,0,683
4941490672,19:45:00,19:50:00,XCN,8,0,0,853
4941490672,20:15:00,20:15:00,NCE,9,0,0,883
9817368613,07:20:00,07:20:00,ZFQ,1,0,0,0
9817368613,09:45:00,09:50:00,XMW,2,0,0,208
9817368613,10:35:00,10:45:00,XTS,3,0,0,256
9817368613,13:25:00,13:30:00,XZR,4,0,0,436
9817368613,14:20:00,14:30:00,XMT,5,0,0,503
9817368613,16:25:00,16:30:00,MAA,6,0,0,658
9817368613,17:15:00,17:25:00,XRF,7,0,0,683
9817368613,19:45:00,19:50:00,XCN,8,0,0,853
9817368613,20:15:00,20:15:00,NCE,9,0,0,883
5887860001,07:20:00,07:20:00,ZFQ,1,0,0,0
5887860001,09:45:00,09:50:00,XMW,2,0,0,208
5887860001,10:35:00,10:45:00,XTS,3,0,0,256
5887860001,13:25:00,13:30:00,XZR,4,0,0,436
5887860001,14:20:00,14:30:00,XMT,5,0,0,503
5887860001,16:25:00,16:30:00,MAA,6,0,0,658
5887860001,17:15:00,17:25:00,XRF,7,0,0,683
5887860001,19:45:00,19:50:00,XCN,8,0,0,853
5887860001,20:15:00,20:15:00,NCE,9,0,0,883
5045750358,14:30:00,14:30:00,NCE,1,0,0,0
5045750358,14:50:00,14:55:00,ANB,2,0,0,16
5045750358,17:10:00,17:20:00,XRF,3,0,0,192
5045750358,19:45:00,19:50:00,XMT,4,0,0,362
5045750358,22:40:00,22:40:00,XTS,5,0,0,602
4911757734,12:45:00,12:45:00,XPB,1,0,0,0
4911757734,18:15:00,18:30:00,XLS,2,0,0,389
4911757734,19:40:00,19:45:00,XBE,3,0,0,483
4911757734,21:30:00,21:35:00,XMW,4,0,0,633
4911757734,22:15:00,22:15:00,XTS,5,0,0,682
2024532581,12:45:00,12:45:00,XPB,1,0,0,0
2024532581,18:15:00,18:30:00,XLS,2,0,0,389
2024532581,19:40:00,19:45:00,XBE,3,0,0,483
2024532581,21:30:00,21:35:00,XMW,4,0,0,633
2024532581,22:15:00,22:15:00,XTS,5,0,0,682
4281456350,12:45:00,12:45:00,XPB,1,0,0,0
4281456350,18:15:00,18:30:00,XLS,2,0,0,389
4281456350,19:40:00,19:45:00,XBE,3,0,0,483
4281456350,21:30:00,21:35:00,XMW,4,0,0,633
4281456350,22:15:00,22:15:00,XTS,5,0,0,682
4000897347,12:45:00,12:45:00,XPB,1,0,0,0
4000897347,18:15:00,18:30:00,XLS,2,0,0,389
4000897347,19:40:00,19:45:00,XBE,3,0,0,483
4000897347,21:30:00,21:35:00,XMW,4,0,0,633
4000897347,22:15:00,22:15:00,XTS,5,0,0,682
7612052144,12:45:00,12:45:00,XPB,1,0,0,0
7612052144,18:15:00,18:30:00,XLS,2,0,0,389
7612052144,19:40:00,19:45:00,XBE,3,0,0,483
7612052144,21:30:00,21:35:00,XMW,4,0,0,633
7612052144,22:15:00,22:15:00,XTS,5,0,0,682
1175265953,12:45:00,12:45:00,XPB,1,0,0,0
1175265953,18:15:00,18:30:00,XLS,2,0,0,389
1175265953,19:40:00,19:45:00,XBE,3,0,0,483
1175265953,21:30:00,21:35:00,XMW,4,0,0,633
1175265953,22:15:00,22:15:00,XTS,5,0,0,682
3294966477,12:45:00,12:45:00,XPB,1,0,0,0
3294966477,18:15:00,18:30:00,XLS,2,0,0,389
3294966477,19:40:00,19:45:00,XBE,3,0,0,483
3294966477,21:30:00,21:35:00,XMW,4,0,0,633
3294966477,22:15:00,22:15:00,XTS,5,0,0,682
3758920070,09:45:00,09:45:00,XTS,1,0,0,0
3758920070,10:35:00,10:40:00,XMW,2,0,0,49
3758920070,12:25:00,12:35:00,XBE,3,0,0,209
3758920070,13:45:00,13:50:00,XLS,4,0,0,303
3758920070,19:40:00,19:40:00,XPB,5,0,0,694
7270937097,09:45:00,09:45:00,XTS,1,0,0,0
7270937097,10:35:00,10:40:00,XMW,2,0,0,49
7270937097,12:25:00,12:35:00,XBE,3,0,0,209
7270937097,13:45:00,13:50:00,XLS,4,0,0,303
7270937097,19:40:00,19:40:00,XPB,5,0,0,694
4850175840,09:45:00,09:45:00,XTS,1,0,0,0
4850175840,10:35:00,10:40:00,XMW,2,0,0,49
4850175840,12:25:00,12:35:00,XBE,3,0,0,209
4850175840,13:45:00,13:50:00,XLS,4,0,0,303
4850175840,19:40:00,19:40:00,XPB,5,0,0,694
4551253667,09:45:00,09:45:00,XTS,1,0,0,0
4551253667,10:35:00,10:40:00,XMW,2,0,0,49
4551253667,12:25:00,12:35:00,XBE,3,0,0,209
4551253667,13:45:00,13:50:00,XLS,4,0,0,303
4551253667,19:40:00,19:40:00,XPB,5,0,0,694
7011470101,09:45:00,09:45:00,XTS,1,0,0,0
7011470101,10:35:00,10:40:00,XMW,2,0,0,49
7011470101,12:25:00,12:35:00,XBE,3,0,0,209
7011470101,13:45:00,13:50:00,XLS,4,0,0,303
7011470101,19:40:00,19:40:00,XPB,5,0,0,694
1800462264,09:45:00,09:45:00,XTS,1,0,0,0
1800462264,10:35:00,10:40:00,XMW,2,0,0,49
1800462264,12:25:00,12:35:00,XBE,3,0,0,209
1800462264,13:45:00,13:50:00,XLS,4,0,0,303
1800462264,19:40:00,19:40:00,XPB,5,0,0,694
9856833811,21:20:00,21:20:00,ZFQ,1,0,0,0
9856833811,24:00:00,24:12:00,XTS,2,0,0,240
9856833811,27:40:00,27:45:00,XMT,3,0,0,477
9856833811,29:35:00,29:40:00,MAA,4,0,0,632
9856833811,30:10:00,30:20:00,XRF,5,0,0,657
9856833811,32:30:00,32:35:00,XCN,6,0,0,827
9856833811,33:00:00,33:00:00,NCE,7,0,0,855
6943272586,21:20:00,21:20:00,ZFQ,1,0,0,0
6943272586,24:00:00,24:12:00,XTS,2,0,0,240
6943272586,27:40:00,27:45:00,XMT,3,0,0,477
6943272586,29:35:00,29:40:00,MAA,4,0,0,632
6943272586,30:10:00,30:20:00,XRF,5,0,0,657
6943272586,32:30:00,32:35:00,XCN,6,0,0,827
6943272586,33:00:00,33:00:00,NCE,7,0,0,855
2151661188,21:20:00,21:20:00,ZFQ,1,0,0,0
2151661188,24:00:00,24:12:00,XTS,2,0,0,240
2151661188,27:40:00,27:45:00,XMT,3,0,0,477
