route_id,service_id,trip_id,trip_short_name,trip_headsign,wheelchair_accessible,bikes_allowed
3273836902,5317058389,5317058389,1700,XPB,1,0
2418679324,2749453370,2749453370,1700,XPB,1,0
6994556113,4681435531,4681435531,1700,XPB,1,0
4046926778,7222265587,7222265587,1700,XPB,1,0
2148543725,7144088292,7144088292,1700,XPB,1,0
5298746224,7645895777,7645895777,1701,EBU,1,0
7220543476,8414198610,8414198610,1701,EBU,1,0
0822719899,6289380587,6289380587,1701,EBU,1,0
7814874202,6347138451,6347138451,1701,EBU,1,0
3150028974,2798329791,2798329791,1701,EBU,1,0
1250277569,4581707409,4581707409,1701,EBU,1,0
0617239472,4928877965,4928877965,1701,EBU,1,0
5866613384,3321344800,3321344800,1701,EBU,1,0
3418468319,6928144683,6928144683,1701,EBU,1,0
0333404632,9876298910,9876298910,1701,EBU,1,0
9943555639,6139573240,6139573240,1701,EBU,1,0
7620970409,7720692534,7720692534,1701,EBU,1,0
7576992261,8398680487,8398680487,1701,EBU,1,0
4493861515,6920345129,6920345129,1701,EBU,1,0
5168375730,5781927005,5781927005,1701,EBU,1,0
0942367088,0219779335,0219779335,1701,EBU,1,0
1556066680,6709728244,6709728244,1701,EBU,1,0
5246592915,7048954626,7048954626,1701,EBU,1,0
5958081675,5161717986,5161717986,1701,EBU,1,0
0656715353,8168825428,8168825428,1701,EBU,1,0
2994796039,1107102301,1107102301,1701,EBU,1,0
1425611878,3636128295,3636128295,1703,EBU,1,0
4695960438,6763076529,6763076529,1703,EBU,1,0
6941729418,7457055003,7457055003,1703,EBU,1,0
6090798492,3410628042,3410628042,1703,EBU,1,0
5946209685,9567481445,9567481445,1703,EBU,1,0
1067222687,9816916191,9816916191,1703,EBU,1,0
6184654717,6883434574,6883434574,1703,EBU,1,0
8916518930,7618961331,7618961331,1703,EBU,1,0
3323358110,2822903531,2822903531,1703,EBU,1,0
0164937547,9980986153,9980986153,1702,XPB,1,0
9612004127,1660444866,1660444866,1702,XPB,1,0
1397755859,2351972163,2351972163,1702,XPB,1,0
5755748764,2744263926,2744263926,1702,XPB,1,0
2648501713,1223172409,1223172409,1702,XPB,1,0
1045702210,8856442329,8856442329,1702,XPB,1,0
7921960326,5921540463,5921540463,1702,XPB,1,0
6560326614,5619209627,5619209627,1702,XPB,1,0
7039350649,8913261101,8913261101,1702,XPB,1,0
5384193084,0210512499,0210512499,1702,XPB,1,0
6479285676,3381853373,3381853373,1702,XPB,1,0
5306375216,1045092716,1045092716,1702,XPB,1,0
0490581996,4524562850,4524562850,1702,XPB,1,0
8668069048,4499233582,4499233582,1702,XPB,1,0
5081083786,2593429297,2593429297,3122,ASE,1,0
2707936887,0447937328,0447937328,3123,ASA,1,0
0511518335,1895809493,1895809493,51039,XTS,1,0
1816070952,3482033689,3482033689,51039,XTS,1,0
9021223370,2738078670,2738078670,51039,XTS,1,0
5232464334,7020590839,7020590839,51039,XTS,1,0
0628933395,2837578072,2837578072,51039,XTS,1,0
0628933395,7407868945,7407868945,51039,XTS,1,0
1493434443,1561956056,1561956056,51039,XTS,1,0
3840483989,6862035924,6862035924,51040,XGC,1,0
0566281630,5533128282,5533128282,51040,XGC,1,0
2821957514,2498579472,2498579472,51040,XGC,1,0
1659966277,4498421958,4498421958,51040,XGC,1,0
3427922539,5386107267,5386107267,51040,XGC,1,0
3427922539,6824173830,6824173830,51040,XGC,1,0
1286923306,5199632980,5199632980,51040,XGC,1,0
8672944800,0225338198,0225338198,51042,XGC,1,0
8790610679,5251939453,5251939453,51042,XGC,1,0
8575192658,1588072558,1588072558,51042,XGC,1,0
9338418488,4215816928,4215816928,51042,XGC,1,0
5781870254,4531616495,4531616495,51042,XGC,1,0
5840236939,0732791483,0732791483,51042,XGC,1,0
5683340946,7102367261,7102367261,51060,XPB,1,0
9575895848,1109518458,1109518458,51060,XPB,1,0
6779318716,2953081296,2953081296,51060,XPB,1,0
6837961576,3975909605,3975909605,51060,XPB,1,0
5163232346,8539006541,8539006541,51060,XPB,1,0
9956298628,2273836239,2273836239,51060,XPB,1,0
8879942953,7775522829,7775522829,51060,XPB,1,0
0490564710,9987602478,9987602478,51061,XTO,1,0
7476535955,6012689409,6012689409,51061,XTO,1,0
0672516424,0958948586,0958948586,51061,XTO,1,0
0064024775,8358509849,8358509849,51061,XTO,1,0
9227992856,2112213348,2112213348,51061,XTO,1,0
9350602335,6735060605,6735060605,51061,XTO,1,0
8761250047,2718183072,2718183072,51061,XTO,1,0
9867737358,6352949285,6352949285,51062,XPB,1,0
1723936657,4975564504,4975564504,51062,XPB,1,0
1284065670,6048917656,6048917656,51062,XPB,1,0
0972696351,5061013506,5061013506,51062,XPB,1,0
0297149143,4817292853,4817292853,51062,XPB,1,0
1783939343,2916656180,2916656180,51062,XPB,1,0
7328725008,0170344170,0170344170,51062,XPB,1,0
3573265099,8834336803,8834336803,51063,XTO,1,0
1192817354,9384757795,9384757795,51063,XTO,1,0
9041479373,4868038941,4868038941,51063,XTO,1,0
9673222910,2777597837,2777597837,51063,XTO,1,0
9374794864,1291533836,1291533836,51063,XTO,1,0
0419572747,4067648018,4067648018,51063,XTO,1,0
0109691680,7262574080,7262574080,51063,XTO,1,0
5452592116,7073605971,7073605971,3177,XGC,1,0
7155734569,2470453235,2470453235,3176,XBC,1,0
1385394667,8859925285,8859925285,51840,XPB,1,0
9103264181,0412752912,0412752912,51840,XPB,1,0
2950006931,1330215028,1330215028,51840,XPB,1,0
1813902075,5754940050,5754940050,51840,XPB,1,0
4826829601,9451708751,9451708751,51840,XPB,1,0
5792030068,0813123512,0813123512,51840,XPB,1,0
4396522727,2614570209,2614570209,51840,XPB,1,0
8426365029,7992434993,7992434993,51840,XPB,1,0
3851665507,4683660394,4683660394,51840,XPB,1,0
6268044862,2506429841,2506429841,51840,XPB,1,0
6204525948,9658943718,9658943718,51841,CMX,1,0
3360921645,2279066080,2279066080,51841,CMX,1,0
5389118840,1482544608,1482544608,51841,CMX,1,0
2237666393,3721815520,3721815520,51841,CMX,1,0
8228771705,8507652534,8507652534,51841,CMX,1,0
9313918441,9966077169,9966077169,51841,CMX,1,0
1937544018,8502845515,8502845515,51841,CMX,1,0
9497186905,7090204155,7090204155,51065,XTS,1,0
8698872482,4883604377,4883604377,51065,XTS,1,0
1515646676,1899589597,1899589597,51065,XTS,1,0
4145910235,8528828487,8528828487,51065,XTS,1,0
4145910235,7061855036,7061855036,51065,XTS,1,0
5842354515,9141123334,9141123334,51065,XTS,1,0
6509952417,8822839480,8822839480,51066,MUZ,1,0
0762039491,9554597684,9554597684,51066,MUZ,1,0
3721373660,9167649448,9167649448,51066,MUZ,1,0
2477974163,5751124933,5751124933,51066,MUZ,1,0
2477974163,9782321904,9782321904,51066,MUZ,1,0
5762002692,5743388531,5743388531,51066,MUZ,1,0
9653960244,4824481202,4824481202,50475,XCA,1,0
5626216516,2139544556,2139544556,50475,XCA,1,0
0271890208,7725738450,7725738450,50474,XPB,1,0
4963228130,7784558577,7784558577,7662,XMZ,1,0
4082670081,3132938804,3132938804,7662,XMZ,1,0
6054905619,3982424060,3982424060,7662,XMZ,1,0
7554790391,7202297975,7202297975,7662,XMZ,1,0
7850860085,7849204097,7849204097,7662,XMZ,1,0
8028265268,4846566286,4846566286,7662,XMZ,1,0
6909042394,0165432563,0165432563,7662,XMZ,1,0
5372619739,7074165254,7074165254,7662,XMZ,1,0
0163820050,6182532121,6182532121,7662,XMZ,1,0
8545924686,4829368099,4829368099,7662,XMZ,1,0
8593165692,2296167205,2296167205,7663,EBA,1,0
2249300407,9497765510,9497765510,7663,EBA,1,0
3040908316,2745281844,2745281844,7663,EBA,1,0
2873125541,8428529053,8428529053,7663,EBA,1,0
2521335222,0132994304,0132994304,7663,EBA,1,0
4806755665,9234809151,9234809151,7663,EBA,1,0
4202984618,6736661169,6736661169,7663,EBA,1,0
1567369993,1387916708,1387916708,7663,EBA,1,0
5720670168,7205835695,7205835695,7990,CDG,1,0
0171695997,1938052953,1938052953,7990,CDG,1,0
7950018467,3779644305,3779644305,7990,CDG,1,0
7950018467,5783182917,5783182917,7990,CDG,1,0
0325079199,3551446461,3551446461,7991,ZRC,1,0
3778993211,9480534940,9480534940,7991,ZRC,1,0
4687680051,2244408919,2244408919,7991,ZRC,1,0
4687680051,2490755846,2490755846,7991,ZRC,1,0
4474938699,4144492451,4144492451,7991,ZRC,1,0
2885102453,9968931352,9968931352,7991,ZRC,1,0
3508256643,6395168554,6395168554,7991,ZRC,1,0
1354433320,5225473217,5225473217,7991,ZRC,1,0
5501870095,4015420988,4015420988,7991,ZRC,1,0
8705344276,7136476043,7136476043,34152,AFR,1,0
6702141957,1461113294,1461113294,34152,AFR,1,0
6702141957,4313771111,4313771111,34152,AFR,1,0
6702141957,7263224803,7263224803,34152,AFR,1,0
8943938090,4829767838,4829767838,34153,MDS,1,0
1242146966,8175876318,8175876318,34153,MDS,1,0
1242146966,4177554920,4177554920,34153,MDS,1,0
1242146966,6677959083,6677959083,34153,MDS,1,0
9001597002,1250353027,1250353027,7562,SDN,1,0
4783883450,7501700900,7501700900,7562,SDN,1,0
8131286571,5290604025,5290604025,7562,SDN,1,0
9553431044,2930252081,2930252081,7562,SDN,1,0
5538726156,8676691612,8676691612,7562,SDN,1,0
2894365704,6651943287,6651943287,7565,XPB,1,0
1848018991,1023330257,1023330257,7565,XPB,1,0
1796702835,3745389874,3745389874,7565,XPB,1,0
1693074706,4134579759,4134579759,7565,XPB,1,0
6825034650,0275083864,0275083864,7565,XPB,1,0
1256992033,5856014019,5856014019,50305,NCY,1,0
2662909999,6597803578,6597803578,50304,XLT,1,0
3723232214,6856929289,6856929289,44152,MDS,1,0
3723232214,8418222206,8418222206,44152,MDS,1,0
5155025138,5261853849,5261853849,44152,MDS,1,0
0107586868,8399218472,8399218472,44153,POR,1,0
6066695676,3419793217,3419793217,44153,POR,1,0
6547654973,7596492373,7596492373,50053,XPB,1,0
1239614482,6667259857,6667259857,50053,XPB,1,0
4467829768,9345168718,9345168718,50053,XPB,1,0
3389856497,0500325048,0500325048,50053,XPB,1,0
9340126611,6663642255,6663642255,50053,XPB,1,0
9340126611,1194700221,1194700221,50053,XPB,1,0
4335444498,6766540523,6766540523,50054,XBT,1,0
7821402163,4390992146,4390992146,50054,XBT,1,0
4430410393,0655689372,0655689372,50054,XBT,1,0
6654612097,0704067718,0704067718,50054,XBT,1,0
1134785243,1390699015,1390699015,50054,XBT,1,0
1134785243,3922242106,3922242106,50054,XBT,1,0
8874835442,2676826051,2676826051,51198,XBT,1,0
3401009166,5266044186,5266044186,51197,XPB,1,0
1452119914,4857891543,4857891543,30498,BUD,1,0
2551153670,4991357296,4991357296,30498,BUD,1,0
5345455417,7816361171,7816361171,30498,BUD,1,0
0551724043,9318178892,9318178892,30498,BUD,1,0
1134375252,5493032415,5493032415,30498,BUD,1,0
1134375252,4604531401,4604531401,30498,BUD,1,0
6997014063,6899714657,6899714657,30499,XPB,1,0
2212719295,2672179256,2672179256,30499,XPB,1,0
5777565687,4522009361,4522009361,30499,XPB,1,0
5777565687,3333109215,3333109215,30499,XPB,1,0
5581604331,4590945258,4590945258,3356,XPB,1,0
7362065264,7920505785,7920505785,3356,XPB,1,0
2715689089,2895318240,2895318240,3356,XPB,1,0
9459919159,5769056961,5769056961,3357,MCA,1,0
3873336917,0234510890,0234510890,3357,MCA,1,0
2312685983,7038689129,7038689129,3357,MCA,1,0
3028544124,9204170621,9204170621,3101,ACD,1,0
8661351903,9800723250,9800723250,3102,ASE,1,0
8661351903,9423411572,9423411572,3102,ASE,1,0
2488930234,0504897012,0504897012,50468,XPB,1,0
3579324640,2635708205,2635708205,50468,XPB,1,0
3854629033,6407679952,6407679952,50469,NAQ,1,0
4785225652,6175834556,6175834556,50469,NAQ,1,0
2277206746,7673624996,7673624996,50469,NAQ,1,0
3815936260,3071734510,3071734510,50025,XBC,1,0
6631740574,3412211226,3412211226,50025,XBC,1,0
4136833256,9161024672,9161024672,50025,XBC,1,0
1346834897,3655374416,3655374416,50025,XBC,1,0
8145269091,5673505230,5673505230,50025,XBC,1,0
3857446002,1422177903,1422177903,50025,XBC,1,0
2334293051,4696489269,4696489269,50025,XBC,1,0
3346712615,1999429759,1999429759,50025,XBC,1,0
5808037552,7395024251,7395024251,50025,XBC,1,0
5277875498,7540152177,7540152177,50025,XBC,1,0
3597469564,8560054587,8560054587,50025,XBC,1,0
6168152072,7384438054,7384438054,50026,ZFJ,1,0
2914104318,8216284844,8216284844,50026,ZFJ,1,0
5594807874,0508009385,0508009385,50026,ZFJ,1,0
3863932738,5203577234,5203577234,50026,ZFJ,1,0
3893194450,2501393828,2501393828,50026,ZFJ,1,0
4248635802,3517381127,3517381127,50026,ZFJ,1,0
0181914093,6636818494,6636818494,50026,ZFJ,1,0
7334365696,5171240615,5171240615,50026,ZFJ,1,0
1378276814,1788418270,1788418270,50026,ZFJ,1,0
6088123570,0308747503,0308747503,50026,ZFJ,1,0
9916861802,4858718050,4858718050,50026,ZFJ,1,0
4950033710,2151700237,2151700237,7668,EBU,1,0
1866689037,2099349134,2099349134,7668,EBU,1,0
1548620544,2432387970,2432387970,7669,LSN,1,0
3133519214,7639482656,7639482656,7669,LSN,1,0
5942371403,4229268633,4229268633,50125,BRG,1,0
3949655139,8386042158,8386042158,50126,XDB,1,0
4687097788,4908627267,4908627267,93233,XPB,1,0
1297601303,2139614379,2139614379,93234,XAM,1,0
2924810500,4598295011,4598295011,1760,XPB,1,0
9723634971,3325940908,3325940908,1760,XPB,1,0
5410833498,7440624327,7440624327,1760,XPB,1,0
1926204044,4497466202,4497466202,1761,XTR,1,0
3284236599,4991802620,4991802620,1761,XTR,1,0
2516445577,4154106431,4154106431,1761,XTR,1,0
6855630865,6151968224,6151968224,1761,XTR,1,0
3287757079,3235910965,3235910965,8717,BLB,1,0
7923449122,1554907095,1554907095,8717,BLB,1,0
9036637652,2330862810,2330862810,8717,BLB,1,0
2325641620,3943187366,3943187366,8717,BLB,1,0
2761348539,4421636325,4421636325,8717,BLB,1,0
7688518264,4275365269,4275365269,8717,BLB,1,0
4050501936,9385714161,9385714161,8717,BLB,1,0
3550498783,8167317447,8167317447,8717,BLB,1,0
1476225327,8590826043,8590826043,8717,BLB,1,0
8757906086,6887572306,6887572306,8717,BLB,1,0
6098205448,3013937576,3013937576,8718,XTS,1,0
9124425196,8652154043,8652154043,8718,XTS,1,0
2884825646,2283244351,2283244351,8718,XTS,1,0
8507380925,6656466966,6656466966,8718,XTS,1,0
5325646427,9862066306,9862066306,8718,XTS,1,0
9760623237,2699532531,2699532531,8718,XTS,1,0
1420379542,3272912214,3272912214,8718,XTS,1,0
8724465787,7170094308,7170094308,8718,XTS,1,0
4086989093,6479817483,6479817483,8718,XTS,1,0
3662493355,5125280510,5125280510,8718,XTS,1,0
5676098861,6172375124,6172375124,8718,XTS,1,0
3102156210,5129783801,5129783801,8718,XTS,1,0
7708649282,0451390748,0451390748,8718,XTS,1,0
7986815651,6648694872,6648694872,8718,XTS,1,0
3626381022,2993488337,2993488337,7352,TLN,1,0
0772465199,2517188977,2517188977,7352,TLN,1,0
8448672614,4087575248,4087575248,7352,TLN,1,0
0368820467,7177477257,7177477257,7352,TLN,1,0
9737007882,9847907366,9847907366,7352,TLN,1,0
8266390505,4710913843,4710913843,7353,XCF,1,0
2532558364,7398664475,7398664475,7353,XCF,1,0
0816687312,9519529699,9519529699,7353,XCF,1,0
7341867208,5023910662,5023910662,7353,XCF,1,0
8916838394,8380549681,8380549681,1730,PTR,1,0
9836604734,3909218741,3909218741,1731,FRZ,1,0
1377864916,2230841710,2230841710,50533,XER,1,0
5551528215,4146350781,4146350781,1748,XPB,1,0
4502881591,9770452761,9770452761,1748,XPB,1,0
0720472277,9176905510,9176905510,1748,XPB,1,0
9012763736,0598823111,0598823111,1748,XPB,1,0
9443901717,9223384688,9223384688,1748,XPB,1,0
5639689554,3361242564,3361242564,1748,XPB,1,0
0382240307,5411779037,5411779037,1748,XPB,1,0
1286025247,1223489043,1223489043,1748,XPB,1,0
5208144815,2796382038,2796382038,1748,XPB,1,0
0717206104,5930143468,5930143468,1748,XPB,1,0
3105849688,4769226356,4769226356,1748,XPB,1,0
1373598205,4476577469,4476577469,1748,XPB,1,0
4916688512,3109222678,3109222678,1748,XPB,1,0
7598092434,2146801999,2146801999,1748,XPB,1,0
2860980742,6768820599,6768820599,1749,TGR,1,0
3605977020,5896224763,5896224763,1749,TGR,1,0
2677824341,6202164849,6202164849,1749,TGR,1,0
